generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,CENT22,CENT17,0,0.032,0,0.005,0
1000,CENT22,CENT17,0,0.705688,0.00910001,0.609132,0
2000,CENT22,CENT17,0,0.370671,0.0612892,0.302483,0
3000,CENT22,CENT17,0,0.474043,0.0351651,0.419652,0
4000,CENT22,CENT17,0,0.841376,0.0393385,0.881422,0
5000,CENT22,CENT17,0,0.831091,-0.00446436,0.720345,0
6000,CENT22,CENT17,0,0.47784,0.0132822,0.188062,0
7000,CENT22,CENT17,0,0.530686,0.00597539,0.252156,0
8000,CENT22,CENT17,0,1.16046,0.0240806,1.30076,0
9000,CENT22,CENT17,0,0.538405,0.0579857,0.34395,0
10000,CENT22,CENT17,0,0.392207,0.0727462,0.452488,0
11000,CENT22,CENT17,0,0.547701,0.00646135,0.272429,0
12000,CENT22,CENT17,0,1.00153,-0.0392321,0.54367,0
12000,CENT32,CENT26,6.83935,1.20682,-0.0280398,0.677487,0
13000,CENT22,CENT17,0,0.551113,0.126257,1.00541,0
14000,CENT22,CENT17,0,0.573668,-0.0261742,0.285143,0
15000,CENT22,CENT17,0,0.181367,0.0725895,0.0393149,0
16000,CENT22,CENT17,0,0.719096,0.0758384,0.952148,0
17000,CENT22,CENT17,0,0.72912,0.00821632,0.681416,0
18000,CENT22,CENT17,0,0.478561,0.0233707,0.388926,0
19000,CENT22,CENT17,0,0.529882,0.0216075,0.544921,0
19000,CENT22,NA,9.27267,3.40341,-0.0390159,3.47443,0
20000,CENT22,CENT17,0,0.175818,0.0479139,0.00154078,0
20000,CENT46,NA,9.81211,0.209275,-0.0113269,0.000516628,0
20000,CENT17,CENT74,8.3905,1.05067,-0.0171736,0.537618,0
20000,CENT32,CENT26,7.40208,0.718562,-0.00337105,0.337462,0
21000,CENT22,CENT17,0,1.08156,-0.0697475,0.382429,0
22000,CENT22,CENT17,0,1.4882,-0.0443571,1.2929,0
23000,CENT22,CENT17,0,0.578893,-0.0197199,0.0833848,0
24000,CENT22,CENT17,0,0.274775,0.0197422,0.151608,0
24000,CENT17,CENT74,4.43889,0.827355,0.0239965,0.253329,0
24000,CENT59,NA,10.2612,0.0734238,0.0826278,0.0926658,0
24000,CENT36,NA,9.91382,0.0950729,-0.00963811,0.325504,0
24000,CENT26,CENT5,7.81075,0.558411,0.0187691,0.0266432,0
25000,CENT22,CENT17,0,0.399897,0.0335202,0.153052,0
26000,CENT22,CENT17,0,0.674814,0.0157294,0.747499,0
27000,CENT22,CENT17,0,1.64791,-0.0331232,1.23288,0
28000,CENT22,CENT17,0,1.01862,-0.030187,0.696515,0
29000,CENT22,CENT17,0,0.718055,-0.000953225,0.493156,0
30000,CENT22,CENT17,0,0.621153,0.052175,0.694999,0
31000,CENT22,CENT17,0,0.328763,-0.0558727,0.118434,0
31000,CENT32,CENT26,3.08633,0.93395,-0.00783496,0.0974924,0
32000,CENT22,CENT17,0,0.518869,0.0729791,0.439759,0
33000,CENT22,CENT17,0,0.510417,0.044143,0.338986,0
34000,CENT22,CENT17,0,0.50936,0.01857,0.267009,0
35000,CENT22,CENT17,0,0.652791,-0.0143187,0.437645,0
36000,CENT22,CENT17,0,0.395617,0.100558,0.556151,0
37000,CENT22,CENT17,0,0.641301,0.0162056,0.385984,0
38000,CENT22,CENT17,0,0.477995,0.0299955,0.174424,0
39000,CENT22,CENT17,0,0.712483,0.0214191,0.854478,0
40000,CENT22,CENT17,0,0.554918,0.0308897,0.647089,0
41000,CENT22,CENT17,0,1.63332,-0.0119759,1.61399,0
42000,CENT22,CENT17,0,0.702929,0.00451471,0.607459,0
43000,CENT22,CENT17,0,0.541568,0.0154289,0.483956,0
44000,CENT22,CENT17,0,0.379227,0.0994646,0.465671,0
45000,CENT22,CENT17,0,0.799196,0.0119726,0.656187,0
46000,CENT22,CENT17,0,0.709261,-0.0269839,0.744194,0
47000,CENT22,CENT17,0,0.539747,0.128535,0.652094,0
48000,CENT22,CENT17,0,0.262443,0.115647,0.186133,0
49000,CENT22,CENT17,0,0.620968,0.0267607,0.322115,0
50000,CENT22,CENT17,0,0.279829,0.109163,0.0833287,0
51000,CENT22,CENT17,0,0.45598,-0.0429223,0.301969,0
51000,CENT32,CENT26,7.1679,0.650526,0.0197536,0.0325091,0
52000,CENT22,CENT17,0,0.80816,-0.0282192,0.353066,0
53000,CENT22,CENT17,0,0.372673,-0.00912733,0.318917,0
53000,CENT17,CENT32,1.1732,0.937393,0.00952587,1.17051,0
54000,CENT22,CENT17,0,0.838516,0.00477025,0.67128,0
55000,CENT22,CENT17,0,0.722057,0.0182497,0.492175,0
56000,CENT22,CENT17,0,0.474487,0.062857,0.493446,0
57000,CENT22,CENT17,0,1.53757,0.0230458,1.99218,0
58000,CENT22,CENT17,0,0.800445,0.0263455,1.09775,0
59000,CENT22,CENT17,0,1.62357,-0.074702,0.639528,0
59000,CENT72,NA,8.67962,0.913076,0.0891653,1.83601,0
59000,CENT17,CENT74,5.86964,0.521456,0.153111,1.22994,0
60000,CENT22,CENT17,0,0.752166,0.0330107,0.864568,0
61000,CENT22,CENT17,0,0.677269,-0.00611402,0.477962,0
62000,CENT22,CENT17,0,1.12762,-0.0696908,1.12861,0
62000,CENT22,CENT72,3.54436,0.302141,0.0229431,0.0331016,0
62000,CENT32,CENT26,7.245,0.600155,-0.00785093,0.0580462,0
63000,CENT22,CENT17,0,0.627925,-0.0142388,0.571719,0
64000,CENT22,CENT17,0,0.557866,0.0776897,0.538893,0
65000,CENT22,CENT17,0,1.63292,-0.0729082,0.972039,0
66000,CENT22,CENT17,0,0.636137,-0.0194638,0.627079,0
67000,CENT22,CENT17,0,0.719135,-0.017418,0.593998,0
68000,CENT22,CENT17,0,0.450658,0.0252258,0.375289,0
69000,CENT22,CENT17,0,0.7284,-0.00143012,0.449845,0
70000,CENT22,CENT17,0,0.732882,0.0593449,0.694388,0
71000,CENT22,CENT17,0,0.845434,0.0425112,0.946295,0
72000,CENT22,CENT17,0,0.626235,0.0158127,0.501138,0
73000,CENT22,CENT17,0,0.865642,0.00550544,0.841302,0
74000,CENT22,CENT17,0,0.954451,-0.0205193,0.643197,0
75000,CENT22,CENT17,0,0.230468,0.069025,0.117116,0
75000,CENT32,CENT26,7.50698,1.20565,-0.0358912,0.700118,0
76000,CENT22,CENT17,0,0.840726,-0.0156181,0.890447,0
76000,CENT17,CENT74,4.54491,0.683357,0.0390073,1.01558,0
76000,CENT36,NA,10.0997,1.32251,-0.0783228,4.86448,0
76000,CENT32,CENT26,7.31987,0.584485,0.0285368,0.00472571,0
77000,CENT22,CENT17,0,0.382949,0.0895986,0.452803,0
78000,CENT22,CENT17,0,0.571024,0.0367646,0.478044,0
79000,CENT22,CENT17,0,0.501952,0.0641689,0.551285,0
80000,CENT22,CENT17,0,0.513748,0.0082459,0.386461,0
80000,CENT44,CENT75,9.54014,1.42573,0.0285381,0.663166,0
81000,CENT22,CENT17,0,0.861144,0.0120443,0.778766,0
82000,CENT22,CENT17,0,1.21722,-0.0209971,0.876146,0
83000,CENT22,CENT17,0,0.741553,0.0117107,0.816192,0
84000,CENT22,CENT17,0,0.325008,0.0744118,0.368969,0
85000,CENT22,CENT17,0,0.259714,0.046369,0.19221,0
86000,CENT22,CENT17,0,0.751333,-0.0235202,0.513223,0
87000,CENT22,CENT17,0,0.464784,0.0460805,0.5747,0
88000,CENT22,CENT17,0,0.861788,-0.0319734,0.572611,0
89000,CENT22,CENT17,0,1.20498,-0.0497074,0.797166,0
90000,CENT22,CENT17,0,0.519989,0.0471917,0.479837,0
90000,CENT44,CENT75,9.5729,0.80069,0.0558109,0.503856,0
91000,CENT22,CENT17,0,0.391964,0.0907376,0.321358,0
92000,CENT22,CENT17,0,0.710641,-0.0191201,0.416977,0
93000,CENT22,CENT17,0,1.75471,-0.0901682,1.12011,0
94000,CENT22,CENT17,0,0.622053,-0.00359147,0.300603,0
95000,CENT22,CENT17,0,0.543219,0.0094857,0.181758,0
96000,CENT22,CENT17,0,0.651888,0.0092987,0.598757,0
97000,CENT22,CENT17,0,1.72805,-0.0953469,0.909962,0
98000,CENT22,CENT17,0,0.929507,-0.0441448,0.645499,0
99000,CENT22,CENT17,0,0.632762,-0.0232326,0.772089,0
99000,CENT32,CENT26,7.5614,1.07439,-0.0537222,0.0675323,0
100000,CENT22,CENT17,0,0.456504,0.0233,0.476443,0
101000,CENT22,CENT17,0,1.40057,-0.0818874,0.886725,0
101000,CENT32,CENT26,7.47876,0.828427,-0.059712,0.154729,0
102000,CENT22,CENT17,0,0.46806,0.0503117,0.528174,0
103000,CENT22,CENT17,0,1.12742,-0.0227652,0.843108,0
104000,CENT22,CENT17,0,0.466862,0.0303634,0.527794,0
105000,CENT22,CENT17,0,0.466326,0.0405729,0.25124,0
106000,CENT22,CENT17,0,1.10559,-0.040455,0.81547,0
107000,CENT22,CENT17,0,1.05114,0.000888644,1.05347,0
108000,CENT22,CENT17,0,0.819401,0.0175751,0.711094,0
109000,CENT22,CENT17,0,0.393159,0.03419,0.247121,0
110000,CENT22,CENT17,0,0.763383,-0.0269774,0.264216,0
111000,CENT22,CENT17,0,1.22858,-0.0255409,0.933907,0
112000,CENT22,CENT17,0,0.726608,0.0400589,0.71604,0
112000,CENT9,NA,10.1266,0.379041,-0.00558348,1.21309,0
113000,CENT22,CENT17,0,0.75656,0.0181976,1.07342,0
114000,CENT22,CENT17,0,0.772066,-0.00245594,0.650742,0
115000,CENT22,CENT17,0,0.60715,0.0411594,0.675364,0
116000,CENT22,CENT17,0,0.96724,0.00317818,0.842498,0
117000,CENT22,CENT17,0,0.616957,0.0577298,0.714617,0
118000,CENT22,CENT17,0,0.756383,-0.0109086,0.467875,0
119000,CENT22,CENT17,0,0.564808,0.040274,0.652607,0
120000,CENT22,CENT17,0,0.311792,-0.015745,0.552151,0
120000,CENT32,CENT26,7.30195,0.939797,0.024991,0.210171,0
121000,CENT22,CENT17,0,0.41327,0.0315532,0.846381,0
121000,CENT32,CENT26,6.24519,0.995503,0.0339353,0.159822,0
122000,CENT22,CENT17,0,0.276953,-0.0529367,0.131699,0
122000,CENT17,CENT74,8.83445,0.429621,0.0727356,0.40159,0
122000,CENT16,NA,9.70948,0.0105181,0.105817,2.26058,0
122000,CENT32,CENT26,6.12001,0.828615,-0.00389763,0.0276577,0
123000,CENT22,CENT17,0,0.712397,0.0317079,0.593545,0
124000,CENT22,CENT17,0,0.643629,-0.015381,0.615047,0
125000,CENT22,CENT17,0,1.10504,-0.0383406,0.534274,0
125000,CENT72,NA,9.13189,1.56599,-0.0514726,1.77623,0
126000,CENT22,CENT17,0,0.615285,0.00936041,0.590054,0
127000,CENT22,CENT17,0,0.946568,-0.0422888,0.691486,0
128000,CENT22,CENT17,0,0.328462,0.0310441,0.122663,0
129000,CENT22,CENT17,0,0.367986,0.00843235,0.150334,0
130000,CENT22,CENT17,0,0.458699,0.0336257,0.30655,0
131000,CENT22,CENT17,0,0.748912,-0.0222195,0.665426,0
132000,CENT22,CENT17,0,0.910382,-0.00975788,0.724504,0
