generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-84.7093,1,0
1000,0,-0.302691,-43.662,0.129164,0.415584
2000,0,-0.669211,-43.7793,0.402638,0.375812
3000,0,-0.232226,-43.6039,0.249069,0.338
4000,0,-1.13712,-44.6124,0.262672,0.35675
5000,0,-0.414096,-43.7699,0.0165285,0.321
6000,0,-0.00559993,-44.6913,0.46227,0.347
7000,0,-0.214515,-44.5074,0.582387,0.314
8000,0,-2.94371,-45.6675,1.52438,0.319
9000,0,-2.73251,-44.8474,2.33554,0.353333
10000,0,-0.921161,-43.73,0.175919,0.34
11000,0,0.255654,-44.4589,0.0737218,0.317
12000,1,-4.31306,-44.6607,2.73418,0.35897
13000,0,-4.62767,-45.236,1.04084,0.273
14000,0,0.0765766,-45.1944,0.0854494,0.376
15000,0,-0.121115,-47.43,0.00444029,0.417
16000,0,-3.55425,-44.3765,1.89057,0.348857
17000,0,-0.337597,-43.6551,0.071415,0.33
18000,0,0.00066475,-43.7621,0.180465,0.32
19000,1,-6.85266,-47.296,0.817897,0.582
20000,3,-1.66351,-42.5106,2.7174,0.568
21000,0,-1.32053,-46.6053,0.0414583,0.383333
22000,0,-2.5374,-45.742,0.520649,0.516
23000,0,-0.230938,-46.5178,0.64874,0.35
24000,4,0.396148,-43.4181,1.06672,0.4643
25000,0,-0.00614422,-44.5249,0.386329,0.322
26000,0,-0.583009,-43.9208,0.26907,0.4135
27000,0,-2.3567,-45.3188,0.41434,0.358211
28000,0,-0.900315,-44.2229,0.160788,0.34
29000,0,-0.058655,-44.0433,0.00511704,0.341
30000,0,-1.0196,-43.6441,0.316854,0.371
31000,1,-0.148193,-44.2611,0.348634,0.3515
32000,0,-1.39307,-44.023,0.527105,0.371222
33000,0,-0.155295,-44.1194,0.074025,0.316
34000,0,-0.90799,-44.3074,1.22051,0.289
35000,0,-0.95602,-44.1913,0.982434,0.319
36000,0,-2.50905,-43.8656,0.692739,0.323636
37000,0,-0.0351677,-44.6152,0.113214,0.3268
38000,0,0.252702,-44.9856,0.0727885,0.319
39000,0,-1.58717,-44.1832,1.08631,0.358333
40000,0,-0.47499,-43.8782,0.240003,0.356
41000,0,-2.55586,-46.0831,0.437724,0.333167
42000,0,-0.193372,-43.6585,0.0367622,0.365
43000,0,-0.57368,-43.7194,0.658401,0.3506
44000,0,-2.02039,-43.6147,0.354705,0.341
45000,0,-1.10536,-44.1523,0.779167,0.375667
46000,0,-2.37698,-46.554,1.93576,0.341667
47000,0,-3.43042,-43.9479,0.092206,0.375333
48000,0,-2.22096,-44.3676,0.255377,0.344
49000,0,-0.262775,-45.4637,0.334319,0.343
50000,0,-3.05926,-44.5484,1.47066,0.329
51000,1,-0.60333,-41.4292,1.03155,0.3804
52000,0,-0.533085,-45.3633,0.370449,0.387
53000,1,-1.75347,-44.9241,1.23488,0.4115
54000,0,-0.358262,-44.1319,0.00177006,0.41025
55000,0,-0.334371,-44.8125,0.211383,0.34
56000,0,-0.755437,-43.4328,0.155158,0.315
57000,0,-2.7868,-48.8228,0.308684,0.4712
58000,0,-1.19296,-45.4206,0.313805,0.345529
59000,2,-11.2651,-46.6459,0.580368,0.355
60000,0,-1.4026,-43.9561,0.725777,0.489
61000,0,-0.491488,-43.9317,0.486636,0.3184
62000,2,-3.27932,-42.7721,2.41425,0.4204
63000,0,-2.90697,-44.7727,2.82463,0.3476
64000,0,-1.24017,-43.9934,0.0941298,0.382
65000,0,-2.51917,-45.2228,0.00894934,0.36875
66000,0,-0.335055,-45.6046,0.153926,0.275
67000,0,-1.31347,-44.2134,1.09751,0.342
68000,0,-0.175225,-43.8693,0.379864,0.351
69000,0,-0.0897273,-44.4152,0.0689287,0.478
70000,0,-1.47865,-45.1447,0.504874,0.337
71000,0,-1.80516,-44.5567,0.809843,0.443
72000,0,-0.065645,-43.6989,0.0461195,0.3668
73000,0,-0.566076,-43.8763,0.0109253,0.335
74000,0,-1.06491,-44.3053,0.540908,0.3298
75000,1,-1.94955,-42.0195,0.801384,0.311
76000,3,-10.5116,-42.7424,3.19389,0.534
77000,0,-1.38709,-43.6253,0.103612,0.3015
78000,0,-0.354398,-43.711,0.192859,0.392
79000,0,-1.0347,-43.4385,0.315788,0.347545
80000,1,-1.65532,-45.1891,0.805436,0.33
81000,0,-2.55653,-44.098,2.04547,0.368
82000,0,-2.90841,-44.852,1.88472,0.364333
83000,0,-0.996713,-44.0009,0.569396,0.325
84000,0,-1.1137,-44.3636,0.470152,0.365125
85000,0,-0.309948,-45.9035,0.585863,0.462
86000,0,-1.5215,-44.2098,1.30416,0.317
87000,0,-0.35013,-44.0304,0.0438191,0.349
88000,0,-0.5514,-44.2721,0.0703972,0.411
89000,0,-2.60304,-44.4919,1.26458,0.346
90000,1,-2.28775,-45.184,1.23071,0.346
91000,0,-2.20566,-43.6343,1.00353,0.383
92000,0,-0.116899,-44.3712,0.0740205,0.355143
